Descriá∆o;Preáo;Estoque Dispon°vel;Custo Unit†rio;Custo Total;Preáo Total;C¢digo;Categoria;Unidade;Fornecedor Principal;Estoque Min.;Estoque Max.;Abaixo Min.;Repor;Pràmio ?;Pontos Nec.;Markup %;NCM;C¢digo Extra;C¢digo Ref.;Marca;Tributaá∆o;CEST;Peso L°q.;Peso Bruto;Inclu°do em;Alterado em;Alterado por;Comiss∆o;Localizacao
ABSORVENTE P‡S PARTO - PACOTE COM 20 UNIDADES;R$ 13,60;0,;R$ 9,72;R$ 0,00;R$ 0,00;01;MATERIAL HOSPITALAR;;;20;2000;Sim;2000;N∆o;;40;48184090   ABSORVENTES E OUTROS ARTIGOS HIGIENICOS,DE PAPEL;;;;;;;;20/03/2014 08:55:31;08/11/2020 11:29:30;admin;;
AÄUCAR CRISTALIZADO - EMBALAGEM COM 01 KG;R$ 3,27;78,;R$ 2,34;R$ 182,52;R$ 255,06;02;MATERIAL ALIMENTICIO;;;50;1000;N∆o;;N∆o;;40;17022000   ACUCAR E XAROPE,DE BORDO (ACER);;;;;;;;20/03/2014 08:56:38;22/12/2020 08:48:49;admin;;
AGUA MINERAL DE 200 ml - MARCA : DIAS D' AVILA;R$ 0,56;0,;R$ 0,39;R$ 0,00;R$ 0,00;464;;;;0;0;s/m;;N∆o;;;22011000   AGUA MINERAL/GASEIFN/ADICIONACUCAR,N/AROMATIZADA,E;;;;;;;;14/04/2016 19:35:46;04/12/2020 19:44:08;admin;;
AGUA SANITARIA 1.000 ml - MARCA : LISA;R$ 1,69;912,;R$ 1,17;R$ 1.067,04;R$ 1.541,28;238;MATERIAL DE LIMPEZA;;;10;2000;N∆o;;N∆o;;45;33019030   AGUA DESTILADA AROMATE SOLAQUOSA DE OLEOS ESSENCIA;;;;;;;;02/06/2014 08:43:53;01/02/2021 17:42:30;admin;;
ALCOOL 70% EM  AEROSSOL - 400 ML;R$ 12,48;94,;R$ 9,99;R$ 939,06;R$ 1.173,12;351;MATERIAL HOSPITALAR;;;0;0;s/m;;N∆o;;25;84716052   TECLADOS P/MAQUINAS AUTOMATPROCDADOS;;;;;;;;20/10/2014 14:59:19;21/08/2020 14:18:17;admin;;
ALCOOL ABSOLUTO 1.000 ml - MARCA : FLAMAGEL ;R$ 13,05;10,;R$ 9,00;R$ 90,00;R$ 130,50;161;MATERIAL HOSPITALAR;;;30;2000;Sim;1990;N∆o;;;30059090   OUTSPASTAS,GAZES,SEMELHP/USO MEDICINAL,CIRURGICO,E;;;;;;;;25/04/2014 14:36:51;03/09/2020 19:26:06;admin;;
ALCOOL GEL 70% DE 05 LITROS - MARCA : BRASCOM;R$ 50,75;0,;R$ 35,00;R$ 0,00;R$ 0,00;58;MATERIAL HOSPITALAR;;;50;2000;Sim;2000;N∆o;;;22071000   ALCOOL ETILICO N/DESNATURADO C/VOLTEOR ALCOOLICO>=;;;;;;;;01/04/2014 18:48:11;20/08/2020 09:26:26;admin;;
ALCOOL GEL 70% DE 05 LITROS - MARCA : FLAMAGEL;R$ 43,00;21,;R$ 29,50;R$ 619,50;R$ 903,00;369;MATERIAL HOSPITALAR;;;200;3000;Sim;2979;N∆o;;45,76271186;48184010   FRALDAS DE PAPEL;;;;;;;;09/01/2015 16:29:48;22/12/2020 09:02:12;admin;;
ALCOOL GEL 70% DE 500 g - MARCA : FLAMAGEL DERMASOFT;R$ 8,46;6,;R$ 5,84;R$ 35,04;R$ 50,76;466;MATERIAL HOSPITALAR;;;30;2000;Sim;1994;N∆o;;;30059090   OUTSPASTAS,GAZES,SEMELHP/USO MEDICINAL,CIRURGICO,E;;;;;;;;25/04/2014 14:37:36;02/12/2020 14:45:56;admin;;
ALCOOL GEL 70% DE 500 ml - MARCA : SAFRA;R$ 7,01;661,;R$ 4,84;R$ 3.199,24;R$ 4.633,61;59;MATERIAL HOSPITALAR;;;50;1000;N∆o;;N∆o;;;22071000   ALCOOL ETILICO N/DESNATURADO C/VOLTEOR ALCOOLICO>=;;;;;;;;01/04/2014 18:49:00;02/12/2020 14:45:30;admin;;
